Concept,Information
Terms,.
Studying,is an act of learning. 
Learning,is the process of acquiring knowledge or skill.  
Acquiring,is an act of obtaining something by sustained effort or natural selection.  
Memorizing,is an act of learning something so that you will remember it exactly.
Recognizing,"is to identify or acknowledge something as previously been seen, known or encountered."
Recalling,is to bring back to mind what has been learned or experienced.
,
Methods,.
Input Stacking,Stacking inputs through reading and listening.
Output Stacking,Outputting through speaking and writing.
,
Ways,.
Reading,Silent reading. Read aloud.
Listening,Listening to audio and video files.
Speaking,Speaking while seeing the materials being read. Speaking your thoughts.
Writing,Writing and copying the reference material. Writing characters and sentences from your thoughts.
,
Approach,.
Bottom-Up,Learn each elements or components and work through your way up to understand the general concept.
Top-Down,Understand the concept and work your way down and learn the meaning of each components or elements.
,
Output Strategy,.
Basic words,Words used in daily life.
Basic word order,Subject-Object-Verb Order.
Basic expressions,"Greetings, etc."
Basic grammar pattern,Structured grammatical patterns.
Basic situational conversations,Basic question and answers. How to react on a given situation.
Communicative skills,"How start, initiate, manage and end conversations."
,
Scripts,.
Hiragana,Target: Two weeks
Katakana ,Target: Two weeks
Kanji Basic,Target: Basic - 250 Kanjis: L5 ⇢ L4
Kanji Intermediate,Target: Intermediate - 750 Kanjis: L3 ⇢ L2
Kanji Advance,Target: Advance - 1+++ Kanjis: Kanji: L1
,
Structure,
Core,Core elements of a sentence.
Basic,"Sentence Types: Verbal, Adjectival, Nominal, Topic-comment sentece."
Compound,Two or more sentences or clauses.
Complex,Sentences which involves complex elements.
Format,Basic format or structure of a sentence.
,
Elements,
Connectives,Target: 50
Advebials,Target: 100
Demonstratives,Target: All
Interrogatives,Target: All
Adjectives,Target: 300
Adjectival Nouns,Target: 500
Pronouns,Target: All
Prefixes,Target: 30
Nouns,Target: 30000
Suffixes,Target: 30
Counters,Target: 30
Time indicators,Target: 30
Location indicators,Target: 30
Nominalizer,Target: 2
Particles,Target: All
Combined particles,Target: 200
Adverbs,Target: 300
Onomatope,Target: 150
Verbs,Target: 2000
Helpers,Target: 100
Auxiliaries,Target: 100
Conjunctions,Target: 100
Grammatical Phrases,Target: 100
Ending particles,Target: All
Copula,Target: All
,
Communication Strategy,.
Calling an attention,Different ways to attract someone’s attention.
Response,How to respond if some is calling your attention.
Start a conversation,How to initiate a conversation.
Ending a conversation,How to end a conversation.
Topic introduction,How to introduce a topic.
Topic change,How to change a topic.
Opening remarks,How to make opening remarks.
Sequence,How to establishing a sequence.
Examples,How to cite examples
Summarize,How to summarise and conclude a statement.
End a presentation,How to end a presentation
,
Level of Encapsulation,.
Low level encapsulation,Utilize memorization techniques and low level learning techniques such as remembering and understanding.
High level encapsulation,"Utilize learning techniques such as applying, analyzing, evaluating and creating."
,
Scanning,.
Quickly running over,Quickly running one’s eyes over a text to take a glimpse of what you are about to read.
Identifying the topic ,I identify the topic to have gist of what is being talk about.
Contextual guessing,Using context to determine the meanings of unknown words.
Extracting specific information,Extracting specific and most important information for quick and factual understanding.
,
Skimming,.
Extended sentential unit,Have a good understanding about Noun phrases as it is one of the key elements in learning Japanese.
Identifying keywords ,"Identify the keywords by visual cues or by answering the question-words: when, where, who, what, why, and how."
Sequence of events,Pin point the order and sequence of event as it a key component of reading comprehension.
Factness of events,Determine that the event happened or not and usually answerable by true or false questions. 
Contextual guessing,Predicting the content as you read can increase you reading speed and comprehension skills.
Getting the gist,"Determine the topic, general ideas of the text and gist or main point of the topic."
