Concept,Meaning,Info,Remarks,S.Remarks,Structure,Sentences,T1,S2,T2,S3,T3,S4,T4,S5,T5
は,topic marker,particle,emphasize the information to be delivered,,N + wa,彼女は歌手です。,She is a singer.,彼は学生です。,I am a student.,天気は晴れだ。,The weather is sunny.,宿題はもう済んだ。,"As for homework, I finished it already.",野菜は食べていません。,"As for vegetables, I don’t eat it."
が,subject marker,particle,emphasize the subject of the sentence,,N + ga,今朝雨が降りました。,It rained this morning.,紅葉がきれいです。,The color of the leaves are beautiful.,私は車があります。,I have a car.,東京は地下鉄が便利です。,The subway in Tokyo is convenient.,昨日友達が来ました。,My friend came yesterday.
が,subject marker,particle,"express desire, need, ability or option",,N + ga + desire・need・ability・option,車がほしい。,I want a car.,コーヒーが好きです。,I like coffee.,たこ焼きが食べたい。,I want to eat takoyaki.,韓国語が話せます。,I can speak Korean.,意味が分かりますか。,Do you understand the meaning?
が,subject marker,particle,follows an interrogative pronoun,,QW + ga,誰が本ですか。,Whose book is this?,誰が来ましたか。,Who came?,どれがいいですか。,Which is better?,誰が作ったの？,Who made it?,背景には何があるのか。,What is in the background? 
を,object marker,particle,indicates the object,,N + wo + .. + trans.verb,コーヒーを飲みましょう。,Let’s drink coffee.,日本語の本をたくさん読みます。,I read a lot of Japanese books.,あの人を知っていますか。,Do you know that person?,もっと野菜を食べなさい。,Eat more vegetables.,女性も男性もベリーダンスを踊ることができる。,Both women and men can belly dance.
を,place of departure marker,particle,indicates a place of departure,,N + wo,家を出ます。,I go out of the house.,新宿で電車を降ります。,I alight off the train at Shinjuku.,仕事終わって会社を出ました。,"After finishing my work, I left the office.",彼らはホテルを出る事を禁じられた。,They were forbidden to leave the hotel.,エスカレーターを降ります。,Go down the escalator.
を,place of passage marker,particle,indicates a place of passage,,N + wo,橋を渡ります。,I cross the bridge.,空を飛びます。,I fly through the sky.,この道をまっすぐ行ってください。,Please go straight along this street.,公園を通っていきましょうか。,Shall we go through the park?,この道を歩いて学校へ行きます。,I walk along this road on the way to school.
に,place marker,particle,indicates existence,,N + ni,駅の前にデパートがあります。,There is a department store in front of the station,途中にもたくさんの滝があります。,There are many waterfalls along the way.,店の中に大観覧車があります。,There is a giant ferris wheel in the store.,別棟にレストランがあります。,There is a restaurant in a separate building.,そのデパートの前に本屋があります。,There is a bookstore in front of that department store.
に,place marker,particle,indicates the location of a thing or situation,,N + ni,私の家族は香港にいます。,My family is in Hongkong.,我々は今マーケットの内側にいます。,We are inside the market now.,事務所にいますか。,Are you in the office?,彼らはかなり裕福で恵まれた環境にいます,They are quite wealthy and well off.,彼女はとても恵まれた環境にいます,She's in a very supportive environment.
に,"destination, termination point marker",particle,indicates the destination or termination point,,N + ni,渋谷に行きます。,I'm going to Shibuya.,彼女が初めて東京に来ます。,She is coming to Tokyo for the first time.,すぐ成田に向かって国に帰ります。,I will head immediately to Narita to return to my country.,来週彼は仕事でニューヨークに行きます。,Next week he goes to New York for work.,これからスーパーへ買い物に行きます。,I am going to the supermarket now.
