Words,Meaning,Sentence
でしょう,"I think, probably",今夜は風が強いでしょう。
とき,"when, at the time of",学生のときよく公園へ花を見に行った/行きました。
ながら,"while, during, as",音楽を聞きながら料理します。
ほうがいい,it’d be better to,今日は傘を持って行ったほうがいい 。
なぜ,why,彼はなぜ猫が嫌いなのか。
だけ,"just, only, simply, merely",私は肉だけ食べる。
だろう,probably,試験は難しかっただろう。
いちばん,"the most, the best",ここがこの町でいちばん安い店だ。
いつ,when,薬局はいつ閉まるのか。
から,"because, since",天気がいいから、散歩しよう。
から,from,ここから新宿駅まで歩いて5分かかる。
けれども,"but, although",その店に行ったけれども閉まっていた。
くらい,"about, approximately",私の家からコンビニまで5分くらいかかる。
まだ,"still, not yet",私の同僚たちはまだ勤務中だ。
まえに,before,日本へ行く前に日本語を勉強する。
まえに,in front of ,私の目の前にその若い男が突然現れた。
ませんか,"let’s, won’t you, why don’t we",私たちと一緒に座りませんか。
ましょう,"let’s, shall we",授業を始めましょうか。
も,"also, too, as well",その男の子は知識も経験もある。
もう,"already, anymore",宿題をもう終えたか。
なに,what,あなたの趣味は何ですか。 
なる,to become,来年、私は英語の教師になる。 
にいく,"to go in order to 
",私は家族と一緒に寿司を食べに行く。
にする,to decide on,紅茶とコーヒー、どちらにしますか。コーヒーにします。
のがじょうず,to be good at,私の息子は絵を描くのが上手だ。
のがすき,like doing,私はサッカーをするのが好きだ。
のがへた,to be bad at,彼は運転するのが下手だ。
ので,"because of, the reason is that",彼は寝過ごしたので学校に遅刻した。
すぎる,too much,あの店の料理は値段が高すぎる。
たい,want to,明日、娘は東京を観光したい。
たことがある,have done before,私は過去に日本語能力試験を受けたことがある。
誰と,with whom,あなたは誰と釣りに行ったの。
てください ,please do,毎日、この部屋を掃除してください。
なんで,"by what, why",あなたは何で駅まで行きますか。
てもいい,"is okay, is alright to, can",生徒たちは教室で野球の練習をしてもいい。
てから,after doing,いつも私は手を洗ってから食事をする。
なんばん,what number,緊急連絡先は何番ですか。
てはいけない,"must not, may not",あなたはここに入ってはいけない。
つもりだ ,"plan to, intend to",明日、私は郵便局へ行くつもりだ。
どこ,where,あなたはどこの町の出身ですか。
より,than,今朝はいつもより早く学校へ行った。
より〜のほうが,is more ~ than,私は秋より春のほうが好きだ。
あまり〜ない,"not very, not much",私は鶏肉があまり好きではない。
あとで,"after, later",昼ごはんの後で友達とコーヒーを飲んだ。
ば,if... then,可能ならば、クレジットカードで支払いたい。
場合は,"in the event of, in case of",明日、雨が降った場合は運動会を中止する。
だけで,just by,弟は彼女の喜ぶ顔を想像するだけで満足した。
出す,"to suddenly begin, to suddenly appear",雨が突然降り出した。
でも,but,パン屋に行きました。でも、何も買いませんでした。
でも,or something,私はコーヒーでも飲みたい。
でございます,to be,当店は間もなく閉店時間でございます。
がる,"to show signs of, to feel",彼の息子は私の冗談を面白がった。
ごろ,"around, about",兄と昼ごろ駅で別れた。
はじめる,"to start, to begin to",どうやら日が暮れ始めた。
はずだ,"it must be, it should be, expected to happen",その番号であっているはずだ。
べきだ,"should do, must do",早く帰宅すべきだ。
がする,"smell, hear, taste, doing, happening",焦げ臭い匂いがする。
はずがない ,cannot be,その噂が本当であるはずがない。
ひつよう,"need, necessary",私には治療がたしかに必要だ。
ひつようがある,it is necessary to,あなたはこの眼鏡を調整する必要がある。
ほしい ,"to want something, to be in need of",寒くなったので、暖房が欲しい。
いらっしゃる,"to be, to come, to go",今日、社長は会社にいらっしゃいます。
いらっしゃる,"to be, to come, to go",今日はお客様が職場にいらっしゃいます。
いたす,to do,すぐにお席にご案内致します。
いたします,to do,本日の会議はもう終了致しました。
じゃないか,isn't it,この話は彼に間違った印象を与えるんじゃないか。
かい,turns a sentence into a yes or no question,学校の宿題は終えたかい。
かどうか,whether or not,この資料が信頼できるかどうか疑わしい。
かどうか,whether or not,私はあの映画が面白いかどうか知りたい。
かもしれない,"might, maybe",やがて雨が降るかもしれない。
かな,I wonder,あなたの隣の席に座ってもいいかな。
かた,"how to, way to do",新宿への行き方を教えて下さい。
かしら,I wonder,部長はニューヨークへ引っ越すのかしら。
こと,verb nominalizer,父は近所の公園を走ることが好きだ。
ことができる,"can, be able to",私は自転車に乗ることができる。
までに,"by, by the time",私たちは明後日までに準備できる。
みたい,"like, similar to, resembling",あなたは猫みたいだ。
みたいに,"like, similar to",今日も蒸し風呂みたいに暑い。
みたいな,"like, similar to",彼の車は桜の花みたいなピンク色だった。
など,"such as, things like",入国審査では、滞在期間や滞在目的などが質問される。
ながら,"while, during, as",友達とコーヒーを飲みながら高校時代の話をした。
ないで,"without doing, don’t",私は現在も飽きないでテニスをしている。
なければいけない,"must do, have to do",私は家賃を払わなければいけない。
なければならない,"must do, have to do",私は1時間で宿題を終えなければならない。
なくてはいけない,"must do, have to do",明日までに私はレポートを提出しなくてはいけない。
なくてはならない,"must do, have to do",私たちは今度の試合に絶対に勝たなくてはならない。
なくてもいい, don’t have to,彼は必ずしもその会議に出席しなくてもいい。
なら,"if, in case, as for",大学院に進むなら、この本を読みなさい。
なさい,do,靴を脱ぎなさい。
なさる,to do,お支払いはどのようになさいますか。
に気がつく,"to notice, to realize",彼が酔っていることに気がついた。
に気がつく,"to notice, to realize",ついに彼は自分の誤りに気がついた。
にくい,"difficult to, hard to",この小説は理解しにくい。
にみえる,"to look, to seem, to appear",彼女は上品に見える。
てみえる,"to look, to seem, to appear",あなたは疲れて見える。
くみえる,"to look, to seem, to appear",彼女はお化粧のせいで若く見える。
ように見える,"to look, to seem, to appear",彼は少し腹を立てているように見えた。
のように見える,"to look, to seem, to appear",素敵な場所のように見える。
のなかで,"in, among",これは電車の中で読むのによい本だ。
のに,in order to,彼女は料理を作るのに2時間かかる。
のに,in order to,私は新宿へ行くのに地下鉄に乗った。
のに,in order to,それを切るのに私はナイフが必要だ。
のに,"although, in spite of, even though",私は明日引っ越しなのに準備がまだ終わっていない。
のように,"like, similar to",猿のように彼は木登りする。
のような,"like, similar to",今日は秋のような天気だ。
お〜ください,please do,私たちにお知らせください。
お〜になる,to do something,田中部長は受付でお待ちになります。
おきに,"repeated at intervals, every",私は六時間おきに体温を測った。
おきに,"repeated at intervals, every",その会議は二年おきに開かれる。
おわる,"to finish, to end",彼女は午前中に3キロ泳ぎ終わった。
られる,to be able to do something,弟は明日10時にここに来られる。
られる,passive voice,私は主任に彼の仕事を頼まれる。
らしい,seems like,彼は道に迷ったらしい。
さ,nominalizer for adjectives,今年の暑さは普通ではない。
さ,nominalizer for adjectives,私は日本のお寺の美しさが好きだ。
させる,to make or let somebody do something,わたしは息子を買い物に行かせる。
させる,to make or let somebody do something,先生が学生に宿題をたくさんさせた。
させられる,to be made to do something,私は毎日母に野菜を食べさせられる。
さすが,as one would expect,彼はさすがに驚きを隠せなかった。
し,list reasons for multiple states and actions,今日、私は少し熱があるし、頭が痛いので早退する。
しか〜ない,"only, nothing but",私は4時間しか寝なかった。
そんなに,"so, so much, like that",あなたはそんなに急いで行く必要はない。
それでも,"but still, and yet, nevertheless",雨が激しく降っている。それでも私は行かなければならない。
そうだ,"look like, appear, seem",この問題は、難しそうだ。
そうだ,"look like, appear, seem",彼は体調が悪そうだ。
そうだ,"I heard that, it is said that",あの翻訳は原文に忠実だそうだ。
そうだ,"I heard that, it is said that",あの映画は面白いそうだ。
たばかり,"just did, something just happened",彼は、今朝ここに着いたばかりだ。
たがる,to want to,彼はだれでも喜ばせたがる。
たら,"if, after, when",追加情報があったらいつでも私に連絡して。
たらどう,why don’t you,通訳の仕事に応募したらどう。
たり〜たり,do such things like,週末、私は図書館で本を読んだり勉強したりする。
たところ,"just finished doing, was just doing",彼女はアメリカから日本に戻ったところだ。
てあげる,to do something for someone,帰りは車で送ってあげるね。
てある,something is or has been done,この手紙には外国の切手が貼ってある。
てある,something is or has been done,この新しい町は美しく設計してある。
